Device: cuda

  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.7660 train_acc=0.622 val_loss=0.8254 val_acc=0.539 val_macroF1=0.555 val_cancerRecall=0.306 (14.2s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7489 train_acc=0.616 val_loss=0.7852 val_acc=0.590 val_macroF1=0.594 val_cancerRecall=0.459 (14.2s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7241 train_acc=0.646 val_loss=0.8007 val_acc=0.548 val_macroF1=0.560 val_cancerRecall=0.378 (14.3s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.7186 train_acc=0.653 val_loss=0.7553 val_acc=0.627 val_macroF1=0.604 val_cancerRecall=0.622 (14.3s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7139 train_acc=0.645 val_loss=0.7692 val_acc=0.571 val_macroF1=0.573 val_cancerRecall=0.477 (14.2s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.6995 train_acc=0.647 val_loss=0.7621 val_acc=0.585 val_macroF1=0.583 val_cancerRecall=0.505 (14.2s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.7097 train_acc=0.657 val_loss=0.7741 val_acc=0.599 val_macroF1=0.604 val_cancerRecall=0.468 (14.2s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.7021 train_acc=0.653 val_loss=0.7588 val_acc=0.608 val_macroF1=0.604 val_cancerRecall=0.532 (14.3s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.7088 train_acc=0.638 val_loss=0.7532 val_acc=0.594 val_macroF1=0.593 val_cancerRecall=0.505 (14.2s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.6737 train_acc=0.688 val_loss=0.7608 val_acc=0.585 val_macroF1=0.585 val_cancerRecall=0.495 (14.3s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.6883 train_acc=0.646 val_loss=0.7520 val_acc=0.590 val_macroF1=0.586 val_cancerRecall=0.495 (14.2s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.6790 train_acc=0.672 val_loss=0.7484 val_acc=0.594 val_macroF1=0.594 val_cancerRecall=0.486 (14.3s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.6519 train_acc=0.684 val_loss=0.7441 val_acc=0.581 val_macroF1=0.580 val_cancerRecall=0.468 (14.3s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.6578 train_acc=0.688 val_loss=0.7465 val_acc=0.585 val_macroF1=0.584 val_cancerRecall=0.477 (14.3s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.6287 train_acc=0.716 val_loss=0.7524 val_acc=0.581 val_macroF1=0.582 val_cancerRecall=0.468 (14.2s)
  [B-finetune] epoch 7/25 lr=5.0e-06 train_loss=0.6419 train_acc=0.682 val_loss=0.7460 val_acc=0.581 val_macroF1=0.583 val_cancerRecall=0.459 (14.2s)
  [B-finetune] epoch 8/25 lr=5.0e-06 train_loss=0.6326 train_acc=0.711 val_loss=0.7574 val_acc=0.581 val_macroF1=0.585 val_cancerRecall=0.432 (14.3s)
  [B-finetune] epoch 9/25 lr=5.0e-06 train_loss=0.6404 train_acc=0.684 val_loss=0.7477 val_acc=0.581 val_macroF1=0.582 val_cancerRecall=0.459 (14.3s)
  [B-finetune] early stopping at epoch 9 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 3 DONE -- best val macro-F1 = 0.6044 ===

=== efficientnet_b0 fold 4 === train=865 val=216 class_weights=[1.3930000066757202, 0.6480000019073486, 1.3539999723434448]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9753 train_acc=0.525 val_loss=0.9000 val_acc=0.560 val_macroF1=0.576 val_cancerRecall=0.450 (14.4s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.8468 train_acc=0.571 val_loss=0.7797 val_acc=0.681 val_macroF1=0.567 val_cancerRecall=0.883 (14.3s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.8048 train_acc=0.571 val_loss=0.7603 val_acc=0.625 val_macroF1=0.602 val_cancerRecall=0.622 (14.3s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.7821 train_acc=0.639 val_loss=0.7715 val_acc=0.625 val_macroF1=0.612 val_cancerRecall=0.568 (14.3s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7770 train_acc=0.630 val_loss=0.7577 val_acc=0.634 val_macroF1=0.622 val_cancerRecall=0.577 (14.3s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7685 train_acc=0.640 val_loss=0.7861 val_acc=0.616 val_macroF1=0.624 val_cancerRecall=0.423 (14.3s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.8069 train_acc=0.620 val_loss=0.7379 val_acc=0.625 val_macroF1=0.608 val_cancerRecall=0.604 (14.3s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7350 train_acc=0.651 val_loss=0.7680 val_acc=0.593 val_macroF1=0.605 val_cancerRecall=0.423 (14.3s)
